Gemeindekennziffer;Name;Innergemeindliche_Pendler;Einpendler;Auspendler;Erwerbstaetig_am_Wohnort;Erwerbstaetige_am_Arbeitsort
08111000;Stuttgart, Landeshauptstadt;218.335;265.192;96.293;314.628;483.527
08115001;Aidlingen;733;716;3.767;4.500;1.449
08115002;Altdorf;260;384;2.083;2.343;644
08115003;Böblingen, Stadt;8.536;29.159;17.254;25.790;37.695
08115004;Bondorf;620;1.343;2.488;3.108;1.963
08115010;Deckenpfronn;524;836;1.267;1.791;1.360
08115013;Ehningen;880;5.112;3.902;4.782;5.992
08115015;Gärtringen;1.129;3.178;5.149;6.278;4.307
08115016;Gäufelden;833;1.069;4.056;4.889;1.902
08115021;Herrenberg, Stadt;5.024;8.537;11.375;16.399;13.561
08115022;Hildrizhausen;263;408;1.654;1.917;671
08115024;Holzgerlingen, Stadt;1.436;4.885;5.371;6.807;6.321
08115028;Leonberg, Stadt;8.274;13.994;16.618;24.892;22.268
08115029;Magstadt;1.077;1.628;3.940;5.017;2.705
08115034;Mötzingen;306;586;1.600;1.906;892
08115037;Nufringen;465;2.251;2.578;3.043;2.716
08115041;Renningen, Stadt;2.291;5.439;6.933;9.224;7.730
08115042;Rutesheim;1.220;2.946;4.421;5.641;4.166
08115044;Schönaich;1.341;2.231;3.982;5.323;3.572
08115045;Sindelfingen, Stadt;14.189;52.614;16.810;30.999;66.803
08115046;Steinenbronn;719;1.284;2.661;3.380;2.003
08115048;Waldenbuch, Stadt;1.235;2.531;3.381;4.616;3.766
08115050;Weil der Stadt, Stadt;2.524;4.347;7.311;9.835;6.871
08115051;Weil im Schönbuch;1.111;1.716;4.042;5.153;2.827
08115052;Weissach;1.011;6.772;2.923;3.934;7.783
08115053;Jettingen;782;1.022;3.198;3.980;1.804
08115054;Grafenau;488;599;3.008;3.496;1.087
08116004;Altbach;369;1.382;2.725;3.094;1.751
08116005;Altdorf;79;238;774;853;317
08116006;Altenriet;111;126;910;1.021;237
08116007;Baltmannsweiler;499;386;2.495;2.994;885
08116008;Bempflingen;350;1.213;1.567;1.917;1.563
08116011;Beuren;396;736;1.571;1.967;1.132
08116012;Bissingen an der Teck;435;865;1.483;1.918;1.300
08116014;Deizisau;645;2.663;2.896;3.541;3.308
08116015;Denkendorf;1.143;2.747;4.725;5.868;3.890
08116016;Dettingen unter Teck;683;2.391;2.391;3.074;3.074
08116018;Erkenbrechtsweiler;219;286;977;1.196;505
08116019;Esslingen am Neckar, Stadt;20.562;39.880;26.488;47.050;60.442
08116020;Frickenhausen;1.116;2.416;3.582;4.698;3.532
08116022;Großbettlingen;297;721;2.044;2.341;1.018
08116027;Hochdorf;366;873;2.077;2.443;1.239
08116029;Holzmaden;151;549;1.006;1.157;700
08116033;Kirchheim unter Teck, Stadt;9.008;14.653;12.428;21.436;23.661
08116035;Köngen;1.132;2.877;4.151;5.283;4.009
08116036;Kohlberg;202;920;1.032;1.234;1.122
08116037;Lichtenwald;178;147;1.199;1.377;325
08116041;Neckartailfingen;396;766;1.659;2.055;1.162
08116042;Neckartenzlingen;788;2.084;2.541;3.329;2.872
08116043;Neidlingen;178;118;825;1.003;296
08116046;Neuffen, Stadt;777;1.089;2.524;3.301;1.866
08116047;Neuhausen auf den Fildern;1.471;5.024;4.981;6.452;6.495
08116048;Notzingen;262;356;1.613;1.875;618
08116049;Nürtingen, Stadt;7.918;15.339;12.766;20.684;23.257
08116050;Oberboihingen;538;1.739;2.442;2.980;2.277
08116053;Ohmden;77;92;775;852;169
08116054;Owen, Stadt;417;1.194;1.441;1.858;1.611
08116056;Plochingen, Stadt;1.615;5.585;5.577;7.192;7.200
08116058;Reichenbach an der Fils;934;2.341;3.447;4.381;3.275
08116063;Schlaitdorf;75;111;926;1.001;186
08116068;Unterensingen;393;1.153;2.163;2.556;1.546
08116070;Weilheim an der Teck, Stadt;1.811;2.927;3.669;5.480;4.738
08116071;Wendlingen am Neckar, Stadt;2.003;6.391;6.790;8.793;8.394
08116072;Wernau (Neckar), Stadt;1.430;2.972;5.228;6.658;4.402
08116073;Wolfschlugen;568;1.296;2.816;3.384;1.864
08116076;Aichwald;815;1.049;3.134;3.949;1.864
08116077;Filderstadt, Stadt;7.975;12.655;17.341;25.316;20.630
08116078;Leinfelden-Echterdingen, Stadt;7.057;25.860;14.747;21.804;32.917
08116079;Lenningen;1.199;1.212;3.143;4.342;2.411
08116080;Ostfildern, Stadt;5.309;11.932;14.930;20.239;17.241
08116081;Aichtal, Stadt;1.062;2.296;4.427;5.489;3.358
08117001;Adelberg;274;838;775;1.049;1.112
08117002;Aichelberg;108;238;633;741;346
08117003;Albershausen;341;839;2.005;2.346;1.180
08117006;Bad Ditzenbach;468;896;1.492;1.960;1.364
08117007;Bad Überkingen;481;1.509;1.526;2.007;1.990
08117009;Birenbach;105;166;885;990;271
08117010;Böhmenkirch;1.037;2.084;2.019;3.056;3.121
08117011;Börtlingen;125;102;744;869;227
08117012;Bad Boll;849;2.190;1.736;2.585;3.039
08117014;Deggingen;722;807;2.055;2.777;1.529
08117015;Donzdorf, Stadt;1.777;1.565;3.920;5.697;3.342
08117016;Drackenstein;35;38;203;238;73
08117017;Dürnau;168;324;991;1.159;492
08117018;Ebersbach an der Fils, Stadt;1.721;2.995;6.212;7.933;4.716
08117019;Eislingen/ Fils, Stadt;2.738;6.049;7.927;10.665;8.787
08117020;Eschenbach;121;632;1.083;1.204;753
08117023;Gammelshausen;68;71;684;752;139
08117024;Geislingen an der Steige, Stadt;5.491;6.149;8.095;13.586;11.640
08117025;Gingen an der Fils;497;1.051;1.809;2.306;1.548
08117026;Göppingen, Stadt;13.611;26.598;14.536;28.147;40.209
08117028;Gruibingen;247;381;986;1.233;628
08117029;Hattenhofen;306;762;1.279;1.585;1.068
08117030;Heiningen;572;1.586;2.196;2.768;2.158
08117031;Hohenstadt;54;35;315;369;89
08117033;Kuchen;495;730;2.385;2.880;1.225
08117035;Mühlhausen im Täle;102;401;456;558;503
08117037;Ottenbach;246;278;1.121;1.367;524
08117038;Rechberghausen;447;932;2.410;2.857;1.379
08117042;Salach;964;4.295;3.101;4.065;5.259
08117043;Schlat;143;96;784;927;239
08117044;Schlierbach;405;1.491;1.635;2.040;1.896
08117049;Süßen, Stadt;1.282;2.849;3.846;5.128;4.131
08117051;Uhingen, Stadt;1.570;3.574;5.662;7.232;5.144
08117053;Wäschenbeuren;269;320;1.708;1.977;589
08117055;Wangen;303;862;1.343;1.646;1.165
08117058;Wiesensteig, Stadt;357;424;815;1.172;781
08117060;Zell unter Aichelberg;386;861;1.381;1.767;1.247
08117061;Lauterstein, Stadt;233;252;1.098;1.331;485
08118001;Affalterbach;539;2.908;1.761;2.300;3.447
08118003;Asperg, Stadt;1.176;3.705;5.828;7.004;4.881
08118006;Benningen am Neckar;420;857;2.982;3.402;1.277
08118007;Besigheim, Stadt;1.607;4.953;4.917;6.524;6.560
08118010;Bönnigheim, Stadt;985;2.068;3.197;4.182;3.053
08118011;Ditzingen, Stadt;3.881;11.284;9.469;13.350;15.165
08118012;Eberdingen;822;970;2.853;3.675;1.792
08118014;Erdmannhausen;466;895;2.112;2.578;1.361
08118015;Erligheim;274;725;1.276;1.550;999
08118016;Freudental;170;148;1.147;1.317;318
08118018;Gemmrigheim;413;488;1.781;2.194;901
08118019;Gerlingen, Stadt;2.456;6.720;7.898;10.354;9.176
08118021;Großbottwar, Stadt;1.079;1.276;3.277;4.356;2.355
08118027;Hemmingen;843;1.303;3.199;4.042;2.146
08118028;Hessigheim;243;235;1.098;1.341;478
08118040;Kirchheim am Neckar;649;1.194;2.439;3.088;1.843
08118046;Kornwestheim, Stadt;3.999;8.759;13.599;17.598;12.758
08118047;Löchgau;497;1.097;2.546;3.043;1.594
08118048;Ludwigsburg, Stadt;19.454;44.968;28.419;47.873;64.422
08118049;Marbach am Neckar, Stadt;1.946;3.359;6.388;8.334;5.305
08118050;Markgröningen, Stadt;2.184;4.003;5.846;8.030;6.187
08118051;Möglingen;949;2.429;5.056;6.005;3.378
08118053;Mundelsheim;339;375;1.469;1.808;714
08118054;Murr;778;2.480;2.741;3.519;3.258
08118059;Oberriexingen, Stadt;260;320;1.506;1.766;580
08118060;Oberstenfeld;1.007;1.279;3.151;4.158;2.286
08118063;Pleidelsheim;692;2.139;2.695;3.387;2.831
08118067;Schwieberdingen;1.277;7.177;4.882;6.159;8.454
08118068;Sersheim;520;831;2.381;2.901;1.351
08118070;Steinheim an der Murr, Stadt;1.166;1.862;5.266;6.432;3.028
08118071;Tamm;952;2.685;5.941;6.893;3.637
08118073;Vaihingen an der Enz, Stadt;5.334;5.341;10.071;15.405;10.675
08118074;Walheim;216;363;1.459;1.675;579
08118076;Sachsenheim, Stadt;2.177;2.991;7.537;9.714;5.168
08118077;Ingersheim;561;814;2.817;3.378;1.375
08118078;Freiberg am Neckar, Stadt;1.862;4.805;7.019;8.881;6.667
